CRN,**Notes,Course,Title,SH,Course Type,Instructor,Meeting Dates,Days,Time,Location,Categories,Seats,Limit,Enroll,*Campus
11457,,BIO 277L-12,Human Physiology Lab,0,LAB,Elizabeth S. Tomlin,08-JAN-2018 to 25-APR-2018,T,0930-1220,EBER 323,,9,24,15,M
11458,"1,3,6",BIO 280-01,Fundamentals in Microbiology,4,LEC,Roberta G. Maxwell,08-JAN-2018 to 25-APR-2018,T R,1400-1515,SULV 101,,0,192,192,M
11459,"5,7",BIO 280L-01,Fundmntls of Microbiology Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M W,0900-1050,EBER 333,,0,24,24,M
11460,"5,7",BIO 280L-02,Fundmntls of Microbiology Lab,0,LAB,Roberta G. Maxwell,08-JAN-2018 to 25-APR-2018,M W,1100-1250,EBER 333,,0,24,24,M
11461,"5,7",BIO 280L-03,Fundmntls of Microbiology Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,M W,1300-1450,EBER 333,,-1,24,25,M
11462,"5,7",BIO 280L-04,Fundmntls of Microbiology Lab,0,LAB,Ashley D. Herring,08-JAN-2018 to 25-APR-2018,M W,1500-1650,EBER 333,,1,24,23,M
11463,"5,7",BIO 280L-05,Fundmntls of Microbiology Lab,0,LAB,Joseph C. Bundy,08-JAN-2018 to 25-APR-2018,T R,0930-1120,EBER 333,,-1,24,25,M
13782,"5,7",BIO 280L-06,Fundmntls of Microbiology Lab,0,LAB,Casey M. Taylor,08-JAN-2018 to 25-APR-2018,T R,1130-1320,EBER 333,,-1,24,25,M
14443,"5,7",BIO 280L-07,Fundmntls of Microbiology Lab,0,LAB,Casey M. Taylor,08-JAN-2018 to 25-APR-2018,T R,1530-1720,EBER 333,,0,24,24,M
15806,"5,7",BIO 280L-08,Fundmntls of Microbiology Lab,0,LAB,Ashley D. Herring,08-JAN-2018 to 25-APR-2018,M W,1700-1900,EBER 333,,2,24,22,M
11464,3,BIO 301-01,Principles of Ecology,3,LEC,Gideon Wasserberg,08-JAN-2018 to 25-APR-2018,T R,1100-1215,SULV 101,.ENV.SUS,23,180,157,M
14869,3,BIO 315-01,Ecology and Evolution Lab,2,LAB,Curtis E. Green,08-JAN-2018 to 25-APR-2018,M,0900-1150,SULV 117,.WI,9,24,15,M
14870,3,BIO 315-02,Ecology and Evolution Lab,2,LAB,Peter W. Blum,08-JAN-2018 to 25-APR-2018,M,1300-1550,SULV 117,.WI,14,24,10,M
